Title	Author	Published At	Source	URL	Annotation 1	Annotation 2	Annotation 3
Coralie Fargeat Pulls ‘The Substance’ from Camerimage Film Festival	Harrison Richlin	2024-11-15T20:58:04Z	IndieWire	https://www.indiewire.com/news/breaking-news/coralie-fargeat-the-substance-camerimage-1235066360/			
If you have to watch one Peacock movie this November, stream this one	Joe Allen	2024-11-15T12:30:41Z	Digital Trends	https://www.digitaltrends.com/movies/watch-peacock-movie-november-2024-stream-this-one/			
The best sci-fi movies to watch on Netflix this November	Toussaint Egan, Austen Goslin	2024-11-16T14:17:19Z	Polygon	https://www.polygon.com/what-to-watch/476063/best-sci-fi-movies-watch-netflix-november-2024			
Nintendo Made Link Talk in The Legend of Zelda: Echoes of Wisdom But 'It Felt Really Wrong'	Ryan Dinsdale	2024-11-12T17:57:45Z	IGN	https://www.ign.com/articles/nintendo-made-link-talk-in-the-legend-of-zelda-echoes-of-wisdom-but-it-felt-really-wrong			
Josh Gad Teases the Progress On Spaceballs 2	Gordon Jackson	2024-11-05T14:00:52Z	Gizmodo.com	https://gizmodo.com/spaceballs-2-update-josh-gad-mel-brooks-2000520443			
All of Selena Gomez's movies and TV shows, ranked from worst to best	Olivia Singh	2024-11-13T22:09:55Z	Business Insider	https://www.businessinsider.com/selena-gomez-movies-tv-shows-ranked			
3 underrated movies you need to watch in November 2024	Jason Struss	2024-10-27T12:00:53Z	Digital Trends	https://www.digitaltrends.com/movies/movies-you-need-to-watch-november-2024/			
If you have to watch one Amazon Prime Video movie in November 2024, stream this one	Blair Marnell	2024-11-10T13:30:27Z	Digital Trends	https://www.digitaltrends.com/movies/if-you-have-to-watch-one-amazon-prime-video-movie-in-november-2024-stream-this-one/			
Disney Drops Blade From 2025 Release Calendar, Adds Predator Movie	Blair Marnell	2024-10-22T17:49:00Z	GameSpot	https://www.gamespot.com/articles/disney-drops-blade-from-2025-release-calendar-adds-predator-movie/1100-6527318/			
Daniel Craig Could Play An Unlikely DC Comics Hero, With An Even More Unlikely Director	staff@slashfilm.com (Danielle Ryan)	2024-11-20T20:53:20Z	/FILM	https://www.slashfilm.com/1718787/daniel-craig-dc-comics-movie-sgt-rock-director-luca-guadagnino/			
The Star Trek Movie That Annoyed The Wrath Of Khan Director	staff@slashfilm.com (Danielle Ryan)	2024-11-18T22:00:48Z	/FILM	https://www.slashfilm.com/1714932/wrath-of-khan-director-annoyed-star-trek-into-darkness/			
Wicked unabashedly caters to people who like musicals and no one else (for the better)	Petrana Radulovic	2024-11-19T18:25:50Z	Polygon	https://www.polygon.com/review/481398/wicked-movie-review-musical			
Margot Robbie Gave Greta Gerwig One Condition To Star In The Barbie Movie	staff@slashfilm.com (Ethan Anderton)	2024-11-07T15:00:58Z	/FILM	https://www.slashfilm.com/1705639/margot-robbie-greta-gerwig-barbie-movie-condition/			
Terminator: Dark Fate Director Tim Miller Knows Exactly What Went Wrong With The Movie	staff@slashfilm.com (Ryan Scott)	2024-11-06T18:00:21Z	/FILM	https://www.slashfilm.com/1706886/tim-miller-terminator-dark-fate-director-what-went-wrong/			
Rejoice, We’re Already Getting Another Entry in the ‘Ke Huy Quan Kicks Ass’ Genre	Germain Lussier	2024-10-29T22:30:23Z	Gizmodo.com	https://gizmodo.com/ke-huy-quan-action-movie-fairytale-in-new-york-2000518221			
Classic survival horror is still alive and scaring	Andrew Webster	2024-10-26T15:00:00Z	The Verge	https://www.theverge.com/2024/10/26/24279276/survival-horror-silent-hill-2-fear-the-spotlight			
“Christmas Eve in Miller’s Point” Transcends the Holiday-Movie Genre	Richard Brody	2024-11-08T11:00:00Z	The New Yorker	https://www.newyorker.com/magazine/2024/11/18/christmas-eve-in-millers-point-movie-review			
James Wan Has Some Killer Choices on His Essential Vampire Movie Watchlist	Cheryl Eddy	2024-10-29T21:40:36Z	Gizmodo.com	https://gizmodo.com/james-wan-best-vampire-movies-streaming-halloween-2000518183			
Look Back, My Old Ass, Netflix’s Meet Me Next Christmas, and every movie new to streaming this week	Toussaint Egan, Petrana Radulovic	2024-11-07T21:52:32Z	Polygon	https://www.polygon.com/entertainment/472236/new-movies-watch-streaming-look-back-meet-me-next-christmas-netflix			
I'm a horror fan who's seen the first 9 'Saw' movies. Here are the 3 you must watch and 6 you should skip.	Amory Rose	2024-10-25T20:58:15Z	Business Insider	https://www.businessinsider.com/saw-best-movies-to-watch-and-skip-2021-10			
A Game of Thrones Movie Is Apparently on the Table	Cheryl Eddy	2024-10-31T23:15:43Z	Gizmodo.com	https://gizmodo.com/a-game-of-thrones-movie-is-apparently-on-the-table-2000519265			
Venom, Joker, and the year of supervillain cinema	A.A. Dowd	2024-10-26T14:30:45Z	Digital Trends	https://www.digitaltrends.com/movies/venom-joker-supervillain-cinema-2024/			
Agatha All Along rushed its journey down the ‘Witches’ Road’	Charles Pulliam-Moore	2024-11-01T21:00:00Z	The Verge	https://www.theverge.com/2024/11/1/24284710/agatha-all-along-finale-billy-maximoff-death			
Where to Watch Every Friday the 13th Movie Online in 2024	Blythe Dujardin	2024-10-25T01:30:00Z	IGN	https://www.ign.com/articles/where-to-stream-friday-the-13th-movies			
10 years ago, Disney released the most underrated Marvel superhero movie ever	Alex Welch	2024-11-10T14:30:47Z	Digital Trends	https://www.digitaltrends.com/movies/big-hero-6-disney-most-underrated-marvel-superhero-movie-10th-anniversary-retrospective/			
The best movies new to streaming this November	Toussaint Egan, Austen Goslin, Polygon Staff	2024-11-01T21:00:51Z	Polygon	https://www.polygon.com/what-to-watch/471571/best-new-movies-netflix-amazon-prime-max-hulu-november-2024			
The Best New Movies and TV Streaming in November 2024, and Where to Watch Them	Germain Lussier	2024-11-01T20:30:49Z	Gizmodo.com	https://gizmodo.com/best-new-movies-tv-streaming-november-2024-2000517602			
This One-Take Horror Movie Is Giving The Zombie Genre New Life On Streaming	staff@slashfilm.com (Chris Evangelista)	2024-10-21T20:00:38Z	/FILM	https://www.slashfilm.com/1693700/one-take-horror-movie-zombie-genre-mads-shudder/			
Funding 'John Wick' kick-started Eva Longoria's investing career. Now, it's her day job.	jguerrasio@insider.com (Jason Guerrasio)	2024-10-31T12:08:01Z	Business Insider	https://www.businessinsider.com/eva-longoria-john-wick-investments-money-worth-2024-10			
Don’t let these 3 November 2024 hidden streaming movie gems fly under your radar	David Caballero	2024-11-16T14:30:51Z	Digital Trends	https://www.digitaltrends.com/movies/hidden-streaming-movie-gems-under-radar-november-2024/			
Kevin Costner Knows Exactly Why So Many Western Movies & TV Shows Fail	staff@slashfilm.com (Ryan Scott)	2024-10-25T20:00:00Z	/FILM	https://www.slashfilm.com/1697325/kevin-costner-why-western-movies-tv-shows-fail/			
Jamie Lee Curtis' Best Movie According To Rotten Tomatoes Isn't A Horror Flick	staff@slashfilm.com (Michael Boyle)	2024-11-17T16:45:36Z	/FILM	https://www.slashfilm.com/1704049/jamie-lee-curtis-best-movie-rotten-tomatoes-not-horror/			
8 shows and movies like 'Woman of the Hour' to watch next for your true crime fix	Olivia Singh	2024-11-01T15:22:24Z	Business Insider	https://www.businessinsider.com/shows-movies-like-woman-of-the-hour-true-crime-2024-10			
The Director of ‘The Fugitive’ Returns to What He Does Best — but Not on the Big Screen	Jim Hemphill	2024-10-23T20:00:00Z	IndieWire	https://www.indiewire.com/features/interviews/the-fugitive-director-andrew-davis-returns-to-action-novelist-1235059224/			
More Zombie Movie Fans Need to Check Out This Overlooked Horror Thriller	Aaron Pruner	2024-10-31T18:00:08Z	CNET	https://www.cnet.com/tech/services-and-software/more-zombie-movie-fans-need-to-check-out-this-overlooked-horror-thriller/			
27 of the Best Needle Drops in Movie History	Amanda Mannen	2024-11-01T16:00:00Z	Cracked.com	https://www.cracked.com/article_43955_27-of-the-best-needle-drops-in-movie-history.html			
Can You Match the Villain to the Movie?	mentalfloss .com	2024-10-21T15:01:00Z	Mental Floss	https://www.mentalfloss.com/posts/match-villain-to-movie-quiz			
Metro Awakening is the horror game I didn't know I needed	Nicholas Sutrich	2024-11-07T17:15:04Z	Android Central	https://www.androidcentral.com/gaming/virtual-reality/metro-awakening-review			
3 underrated movies on Amazon Prime Video you need to watch in November	Christine Persaud	2024-11-04T14:30:22Z	Digital Trends	https://www.digitaltrends.com/movies/3-underrated-movies-amazon-prime-video-watch-november-2024/			
This Year's Goofiest, Strangest Christmas Movie Has Taken Over Netflix	staff@slashfilm.com (BJ Colangelo)	2024-11-16T23:51:01Z	/FILM	https://www.slashfilm.com/1715406/christmas-movie-hot-frosty-netflix/			
A Very Long Science Fiction Movie from Wim Wenders #SciFiSunday	Zay	2024-11-04T01:00:59Z	Adafruit.com	https://blog.adafruit.com/2024/11/03/a-very-long-science-fiction-movie-from-wim-wenders-scifisunday/			
Outlast Is The Latest Video Game To Get A Movie Adaptation, And A Major Studio Is Behind It	Eddie Makuch	2024-10-30T15:44:00Z	GameSpot	https://www.gamespot.com/articles/outlast-is-the-latest-video-game-to-get-a-movie-adaptation-and-a-major-studio-is-behind-it/1100-6527485/			
‘Absolution’ Review: The Liam Neeson Action Revenge Genre Starts to Wind Down as He Plays an Enforcer with Memory Issues	Owen Gleiberman	2024-11-01T04:44:13Z	Variety	https://variety.com/2024/film/reviews/absolution-review-liam-neeson-1236195812/			
5 Reasons Why Smile 2 Killed It At The Box Office	staff@slashfilm.com (Ryan Scott)	2024-10-21T16:42:58Z	/FILM	https://www.slashfilm.com/1693441/smile-2-box-office-hit-reasons/			
10 great horror movies to stream on Netflix this Halloween	Anthony Orlando	2024-10-31T12:30:39Z	Digital Trends	https://www.digitaltrends.com/movies/10-best-horror-movies-to-stream-on-netflix-this-halloween-2024/			
Liam Neeson's Worst Movie, According To Rotten Tomatoes	staff@slashfilm.com (Joe Roberts)	2024-10-21T12:45:00Z	/FILM	https://www.slashfilm.com/1680978/liam-neeson-worst-movie-rotten-tomatoes/			
The First Reactions To The Wicked Movie Have Critics United	staff@slashfilm.com (Jeremy Smith)	2024-10-30T18:27:55Z	/FILM	https://www.slashfilm.com/1701424/wicked-movie-reactions/			
This horror sequel should’ve never been made. Here’s why it works for me	Jason Struss	2024-10-26T13:00:09Z	Digital Trends	https://www.digitaltrends.com/movies/psycho-2-why-it-works-for-me/			
Scay Science Fictiom #SciFiSunday #Halloween	Zay	2024-10-27T18:00:58Z	Adafruit.com	https://blog.adafruit.com/2024/10/27/scay-science-fictiom-scifisunday-halloween/			
Here Are the Incredible A-List Comic Book Cameos That Didn’t Make It Into ‘Deadpool & Wolverine’	Keegan Kelly	2024-11-08T19:30:00Z	Cracked.com	https://www.cracked.com/article_44314_here-are-the-incredible-a-list-comic-book-cameos-that-didnt-make-it-into-deadpool-wolverine.html			
3 sci-fi movies on Peacock you need to watch in November 2024	Christine Persaud	2024-11-06T18:00:17Z	Digital Trends	https://www.digitaltrends.com/movies/3-sci-fi-movies-on-peacock-watch-november-2024/			
Bruce Willis Almost Became The Face Of An Action Movie Franchise A Year Before Die Hard	staff@slashfilm.com (Witney Seibold)	2024-10-30T21:00:02Z	/FILM	https://www.slashfilm.com/1699485/bruce-willis-mel-gibson-lethal-weapon-before-die-hard/			
Kevin Costner Thinks All Good Sports Movies Should Follow This One Rule	staff@slashfilm.com (Witney Seibold)	2024-11-01T21:00:32Z	/FILM	https://www.slashfilm.com/1699461/kevin-costner-sports-movies-follow-one-rule/			
Tom Hanks' Favorite Movie Of All Time Is A 1960s Sci-Fi Classic	staff@slashfilm.com (Jeremy Smith)	2024-11-04T02:00:23Z	/FILM	https://www.slashfilm.com/1701314/tom-hanks-favorite-movie-all-time-sci-fi-classic-2001-a-space-odyssey/			
A Buffy The Vampire Slayer Star Had A Horrible Star Trek Audition With Patrick Stewart	staff@slashfilm.com (Devin Meenan)	2024-11-16T17:45:01Z	/FILM	https://www.slashfilm.com/1710086/buffy-the-vampire-slayer-star-james-marsters-star-trek-audition-patrick-stewart/			
The best noir movies to watch this Noirvember	Pete Volk, Tasha Robinson, Austen Goslin	2024-11-01T20:59:09Z	Polygon	https://www.polygon.com/what-to-watch/473649/best-noir-movies-watch-streaming-neo-noir			
Vizio’s MicMe Soundbar Is Tailor-Made for Those Who Think They’re Great at Karaoke	Kyle Barr	2024-10-29T13:17:35Z	Gizmodo.com	https://gizmodo.com/vizios-micme-soundbar-is-tailor-made-for-those-who-think-theyre-great-at-karaoke-2000517861			
Sega’s Ready to Bring Another Video Game Franchise to the Big Screen	Gordon Jackson	2024-11-01T13:00:54Z	Gizmodo.com	https://gizmodo.com/sega-house-of-the-dead-movie-paul-ws-anderson-2000519015			
3 underrated sci-fi movies on Amazon Freevee you should watch in November	Christine Persaud	2024-11-07T18:00:37Z	Digital Trends	https://www.digitaltrends.com/movies/3-underrated-sci-fi-movies-amazon-freevee-watch-november-2024/			
10 Scary New Movies to Stream on Shudder Tonight	Cheryl Eddy	2024-10-25T19:45:05Z	Gizmodo.com	https://gizmodo.com/halloween-best-streaming-horror-shudder-2000516602			
3 great Tubi movies to stream on Halloween	Dan Girolamo	2024-10-31T09:30:31Z	Digital Trends	https://www.digitaltrends.com/movies/tubi-halloween-movies-stream-2024/			
‘The Fetch’ Trailer: Irish Folklore Comes to Life in a Directorial Debut About the Things That Haunt Us Long After Death	Christian Zilko	2024-10-24T17:00:00Z	IndieWire	https://www.indiewire.com/news/trailers/the-fetch-trailer-1235059164/			
Jordan Peele Movie Deals - Get Out And Us 4K Steelbook For $29, 3-Film Collection For Only $13	Steven Petite	2024-10-21T05:36:00Z	GameSpot	https://www.gamespot.com/articles/jordan-peele-movie-deals-get-out-and-us-4k-steelbook-for-29-3-film-collection-for-only-13/1100-6525771/			
‘Smile 2’ Star Naomi Scott On How Hit Film Transcends Horror Genre	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-11T18:33:15Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/11/smile-2-star-naomi-scott-on-how-hit-film-transcends-horror-genre/			
Jackie Earle Haley Returns To Horror Genre As Star Of Benacus Entertainment’s Game Show Slasher ‘I’m Your Host’	Melanie Goodfellow	2024-10-23T17:30:08Z	Deadline	http://deadline.com/2024/10/jackie-earle-haley-star-horror-film-im-your-host-1236156455/			
Don't Worry -- It's Just a Dream. Learn Why You're Having Nightmares	Steph Panecasio	2024-10-31T16:00:00Z	CNET	https://www.cnet.com/health/sleep/heres-why-youre-having-nightmares/			
The Quintessential Midnight Movie You Almost Can’t See, ‘Popcorn’ (1991) Is Why Streaming Feels Scary	Alison Foreman	2024-10-26T01:30:00Z	IndieWire	https://www.indiewire.com/features/best-of/popcorn-midnight-movie-1991-after-dark-1235060370/			
Natalie Portman's Only Western Movie Was Plagued By Behind-The-Scenes Drama	staff@slashfilm.com (Sandy Schaefer)	2024-11-01T17:56:45Z	/FILM	https://www.slashfilm.com/1703429/natalie-portman-western-movie-jane-got-a-gun-behind-the-scenes-drama/			
‘Carry-On’ Trailer: Taron Egerton Is the TSA Agent We All Want This Holiday Season	Tony Maglio	2024-11-12T15:23:55Z	IndieWire	https://www.indiewire.com/news/trailers/carry-on-trailer-taron-egerton-vs-jason-bateman-1235064755/			
The 10 Best Dark Fantasy Movies, Ranked	staff@slashfilm.com (Rafael Motamayor)	2024-11-05T04:00:26Z	/FILM	https://www.slashfilm.com/1704303/best-dark-fantasy-movies-ranked/			
The Wicked Movie Could Be A Bigger Box Office Hit Than You Think	staff@slashfilm.com (Ryan Scott)	2024-11-15T15:00:50Z	/FILM	https://www.slashfilm.com/1712867/wicked-movie-2024-box-office-hit-signs/			
Watch The Teaser For Flying Lotus’ New Sci-Fi Movie Ash Starring Eiza González & Aaron Paul	Tom Breihan	2024-10-21T16:02:34Z	Stereogum	https://www.stereogum.com/2284734/watch-the-teaser-for-flying-lotus-new-sci-fi-movie-ash-starring-eiza-gonzalez-aaron-paul/news/			
Watch Behind-the-Scenes Footage From 8 Modern Horror Movies	Ellen Gutoskey	2024-10-22T12:53:00Z	Mental Floss	https://www.mentalfloss.com/watch-horror-movies-behind-the-scenes-footage			
Why Creature Commandos Is the Perfect Re-Starting Point for the DC Universe	Isaiah Colbert	2024-11-18T17:00:40Z	Gizmodo.com	https://gizmodo.com/why-creature-commandos-is-the-perfect-re-starting-point-for-the-dc-universe-2000525054			
Why Saw Is The Greatest Horror Movie Franchise Ever	Phil Owen	2024-10-28T13:51:00Z	GameSpot	https://www.gamespot.com/gallery/why-saw-is-the-greatest-horror-movie-franchise-ever/2900-5893/			
5 Netflix war movies that are perfect to stream for the fall	Joe Allen	2024-10-21T13:00:32Z	Digital Trends	https://www.digitaltrends.com/movies/netflix-war-movies-perfect-stream-fall-2024/			
The Evolution of Cinema: Watch Nearly 140 Years of Film History Unfold in 80 Minutes	Colin Marshall	2024-10-24T07:50:02Z	Openculture.com	https://www.openculture.com/2024/10/the-evolution-of-cinema-watch-nearly-140-years-of-film-history-unfold-in-80-minutes.html			
