Title	Author	Published At	Source	URL	Aamir Annotation	Jonathan Annotation	James Annotation
The 25 best new horror movies of 2024 (so far)	Caralynn Matassa	2024-11-01T15:32:56Z	Business Insider	https://www.businessinsider.com/best-new-horror-movies-2024			
3 great Hulu movies you need to stream this weekend (October 25-27)	Blair Marnell	2024-10-25T21:00:28Z	Digital Trends	https://www.digitaltrends.com/movies/three-great-hulu-movies-you-need-to-stream-this-weekend-october-25-27-2024/			
The Only Movie Stephen King Ever Walked Out Of Was Directed By Michael Bay	staff@slashfilm.com (Debopriyaa Dutta)	2024-11-11T02:00:38Z	/FILM	https://www.slashfilm.com/1705844/stephen-king-movie-walked-out-michael-bay-transformers/			
10 Best Horror Movies Released This Year (Ranked)	Haiden Lovely	2024-10-24T11:53:43Z	The Escapist	https://www.escapistmagazine.com/best-horror-movies-released-this-year/			
‘Heretic’s End Credits Thank Cameron Crowe And Eddie Redmayne. Here’s Why	"Simon Thompson, Contributor, 
 Simon Thompson, Contributor
 https://www.forbes.com/sites/simonthompson/"	2024-11-08T22:59:54Z	Forbes	https://www.forbes.com/sites/simonthompson/2024/11/08/heretics-end-credits-thank-cameron-crowe-and-eddie-redmayne-heres-why/			
Awful Manager Made Their Life Miserable At Work, So They Filled Out An Anonymous Survey And Got Her Fired	Matthew Gilligan	2024-10-30T12:49:30Z	Twistedsifter.com	http://twistedsifter.com/2024/10/an-awful-manager-made-their-life-miserable-at-work-so-they-filled-out-an-anonymous-survey-and-got-her-fired/			
Randy Fertel’s Winging It: The Pleasures And Perils Of Improvisation	"Tom Teicholz, Contributor, 
 Tom Teicholz, Contributor
 https://www.forbes.com/sites/tomteicholz/"	2024-11-11T18:52:58Z	Forbes	https://www.forbes.com/sites/tomteicholz/2024/11/11/randy-fertels-winging-it-the-pleasures-and-perils-of-improvisation/			
Speak No Evil 2024 BDRip H264-RBB	saamaan1@yahoo.com (Master), Master	2024-11-18T08:58:30Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-bdrip-h264-rbb/			
I Finally Watched Speak No Evil, And I Need To Talk About One Big Change From The Original	jerricatisdale@gmail.com (Jerrica Tisdale)	2024-11-15T10:03:00Z	CinemaBlend	https://www.cinemablend.com/movies/i-finally-watched-speak-no-evil-need-to-talk-about-one-big-change-from-original			
Speak No Evil 2024 1080p BluRay x264-PiGNUS	saamaan1@yahoo.com (Master)	2024-11-20T22:08:58Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-1080p-bluray-x264-pignus/			
